75	C-456CDDD6,International Symposium on Physical Design	10	161
350	C-44F1AB80,International Conference on Network Protocols	10	158
28	C-436EE6FE,International Symposium on Computer Architecture	10	156
14	C-460D43CF,Conference on Information Sciences and Systems	10	148
662	C-43AAC778,High Performance Switching and Routing	10	147
76	C-4306EF42,Real-Time Systems Symposium	10	146
227	C-4440ADC2,International Conference on Telecommunications	10	142
453	C-46FBD930,Real Time Technology and Applications Symposium	10	140
341	C-45DA1F87,Field-Programmable Custom Computing Machines	10	136
485	C-44C78644,International Performance, Computing, and Communications Conference	10	136
632	C-47175205,Modeling Analysis and Simulation of Wireless and Mobile Systems	10	136
255	C-46AD78C1,Data Compression Conference	10	136
86	C-44E8D4B3,Statistical and Scientific Database Management	10	134
215	C-477202E3,British Machine Vision Conference	10	134
552	C-47765112,Compilers, Architecture, and Synthesis for Embedded Systems	10	133
121	C-45835902,Computer-Based Medical Systems	10	131
12	C-44815780,Winter Simulation Conference	10	128
366	C-474BD8D0,Parallel and Distributed Processing Techniques and Applications	10	128
507	C-42E6BE19,Digital Systems Design	10	125
434	C-43226B44,High-Performance Computer Architecture	10	121
260	C-43C18390,Field Programmable Gate Arrays	10	118
195	C-45C56EDC,Defect and Fault Tolerance in VLSI and Nanotechnology Systems	10	118
418	C-4409EED4,Vision Modeling and Visualization	10	118
352	C-439F03CF,International Conference on Parallel Architectures and Compilation Techniques	10	117
582	C-460452E7,International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing	10	116
309	C-46202E57,International Conference on Conceptual Modeling	10	115
579	C-476510B9,International On-Line Testing Symposium	10	111
729	C-466431A5,Symposium on Applications and the Internet	10	104
242	C-435D23B8,Symposium on Discrete Algorithms	10	103
575	C-44A68539,International Conference on Enterprise Information Systems	10	103
134	C-443F9CFF,IEEE Virtual Reality Conference	10	100
359	C-465EF934,Modeling, Analysis, and Simulation On Computer and Telecommunication Systems	10	99
176	C-43DB3338,Industrial and Engineering Applications of Artificial Intelligence and Expert Systems	10	98
340	C-44C93DEC,European Symposium on Algorithms	10	98
97	C-43F41A29,Principles of Distributed Computing	10	97
190	C-479D1E74,Canadian Conference on Computational Geometry	10	93
132	C-43DFAE0A,Conference on Object-Oriented Programming Systems, Languages, and Applications	10	93
