11004	75C9C61D:xianlong_hong	10	363
77119	7F3CD7CA:weiying_ma	10	334
151830	7E6CF333:wen_gao	10	334
16097	7DFBBC1A:francky_catthoor	10	281
7208	7E8FA339:mary_jane_irwin	10	258
189888	82A47F45:mahmut_kandemir	10	255
124193	81292CD7:kenji_kaneko	10	244
60619	7637F0E6:shuuji_kajita	10	243
77210	8098BA90:yici_cai	10	242
794	7ED2D210:sudhakar_m_reddy	10	236
173044	78322C72:n_vijaykrishnan	10	236
167536	7C645EA4:piet_demeester	10	234
113572	810B4A93:zheng_chen	10	231
25778	823F7E77:wei_liu	10	219
20125	29ED30E0:lajos_hanzo	10	212
24932	7E7A3A69:jiawei_han	10	209
20231	7EAA8442:philip_s_yu	10	207
72957	5E0F6927:irith_pomeranz	10	199
27777	818F5DC2:lei_zhang	10	197
256240	803BEDCD:chun_chen	10	195
47702	7D3119D7:atsuo_takanishi	10	189
176951	7EBD9E4A:adriano_camps	10	183
62803	8155AF94:jiajun_bu	10	175
17264	81BE1E7A:hiroshi_g_okuno	10	168
207712	84F6F3F8:wei_wang	10	166
95142	8003BF52:heungyeung_shum	10	165
25248	7DD5BAB6:joel_saltz	10	165
17415	259CCDE9:paolo_dario	10	164
39231	7BC7D2C4:hiroshi_ishiguro	10	164
212966	7F76760B:debin_zhao	10	162
151832	7D247650:xilin_chen	10	157
73820	134C40AA:enrico_macii	10	155
220932	80240ADD:qian_zhang	10	153
77992	0AD994AD:tahsin_kurc	10	149
281291	7EBD3AAB:jian_pei	10	146
14241	790E4026:john_a_stankovic	10	146
82443	75E739C4:li_zhang	10	146
143091	81DE0B41:wen_gao	10	146
39613	7D4D4865:qi_tian	10	142
266428	7D585CEF:sheqin_dong	10	140
316907	7EAC3E0D:takayuki_kanda	10	138
56683	7E88C142:qing_li	10	136
27370	79714738:beng_chin_ooi	10	135
4097	7263AD95:hanspeter_kriegel	10	134
107061	8065F930:changsheng_xu	10	134
169420	10EB140C:fumio_kanehiro	10	133
179083	7F243834:vivek_de	10	131
264954	7E6E1724:feng_wu	10	131
